entropy,participant,block,condition,category,ent_norm
1.5,dd,1,Correspondence,green,0.75
1.5,dd,1,Correspondence,purple,0.75
0.811278124,dd,1,Correspondence,red,0.405639062
0,dd,2,Correspondence,blue,0
0,dd,2,Correspondence,green,0
0.811278124,dd,2,Correspondence,purple,0.405639062
0,dd,2,Correspondence,red,0
0,dd,3,Correspondence,blue,0
0,dd,3,Correspondence,green,0
0,dd,3,Correspondence,purple,0
0,dd,3,Correspondence,red,0
2,de,0,Correspondence,blue,1
2,de,0,Correspondence,green,1
2,de,0,Correspondence,purple,1
1.5,de,0,Correspondence,red,0.75
0.811278124,de,1,Correspondence,blue,0.405639062
2,de,1,Correspondence,green,1
2,de,1,Correspondence,purple,1
0.811278124,de,1,Correspondence,red,0.405639062
1,de,2,Correspondence,blue,0.5
2,de,2,Correspondence,green,1
2,de,2,Correspondence,purple,1
1.5,de,2,Correspondence,red,0.75
1.5,de,3,Correspondence,blue,0.75
1.5,de,3,Correspondence,green,0.75
2,de,3,Correspondence,purple,1
1.5,de,3,Correspondence,red,0.75
1.5,df,0,Correspondence,blue,0.75
2,df,0,Correspondence,green,1
2,df,0,Correspondence,purple,1
1.5,df,0,Correspondence,red,0.75
0.811278124,df,1,Correspondence,blue,0.405639062
1,df,1,Correspondence,green,0.5
1.5,df,1,Correspondence,purple,0.75
1.5,df,1,Correspondence,red,0.75
1,df,2,Correspondence,blue,0.5
1.5,df,2,Correspondence,green,0.75
2,df,2,Correspondence,purple,1
0,df,2,Correspondence,red,0
1,df,3,Correspondence,blue,0.5
2,df,3,Correspondence,green,1
1,df,3,Correspondence,purple,0.5
0.811278124,df,3,Correspondence,red,0.405639062
2,dg,0,Correspondence,blue,1
2,dg,0,Correspondence,green,1
2,dg,0,Correspondence,purple,1
2,dg,0,Correspondence,red,1
2,dg,1,Correspondence,blue,1
1.5,dg,1,Correspondence,green,0.75
2,dg,1,Correspondence,purple,1
1.5,dg,1,Correspondence,red,0.75
0.811278124,dg,2,Correspondence,blue,0.405639062
1.5,dg,2,Correspondence,green,0.75
1.5,dg,2,Correspondence,purple,0.75
2,dg,2,Correspondence,red,1
2,dg,3,Correspondence,blue,1
1.5,dg,3,Correspondence,green,0.75
2,dg,3,Correspondence,purple,1
1.5,dg,3,Correspondence,red,0.75
1.5,dh,0,Correspondence,blue,0.75
1.5,dh,0,Correspondence,green,0.75
1.5,dh,0,Correspondence,purple,0.75
1.5,dh,0,Correspondence,red,0.75
2,dh,1,Correspondence,blue,1
2,dh,1,Correspondence,green,1
2,dh,1,Correspondence,purple,1
0.811278124,dh,1,Correspondence,red,0.405639062
0.811278124,dh,2,Correspondence,blue,0.405639062
1.5,dh,2,Correspondence,green,0.75
1.5,dh,2,Correspondence,purple,0.75
1,dh,2,Correspondence,red,0.5
1.5,dh,3,Correspondence,blue,0.75
1.5,dh,3,Correspondence,green,0.75
0.811278124,dh,3,Correspondence,purple,0.405639062
1.5,dh,3,Correspondence,red,0.75
1,di,0,Correspondence,blue,0.5
1.5,di,0,Correspondence,green,0.75
2,di,0,Correspondence,purple,1
0,di,0,Correspondence,red,0
2,di,1,Correspondence,blue,1
1.5,di,1,Correspondence,green,0.75
1,di,1,Correspondence,purple,0.5
2,di,1,Correspondence,red,1
0,di,2,Correspondence,blue,0
0,di,2,Correspondence,green,0
1,di,2,Correspondence,purple,0.5
0,di,2,Correspondence,red,0
0.811278124,di,3,Correspondence,blue,0.405639062
0,di,3,Correspondence,green,0
1,di,3,Correspondence,purple,0.5
0,di,3,Correspondence,red,0
1.5,bj,0,Recall,blue,0.75
0,bj,0,Recall,green,0
2,bj,0,Recall,purple,1
1.5,bj,0,Recall,red,0.75
1.5,bj,1,Recall,blue,0.75
1.5,bj,1,Recall,green,0.75
2,bj,1,Recall,purple,1
1.5,bj,1,Recall,red,0.75
1.5,bj,2,Recall,blue,0.75
2,bj,2,Recall,green,1
2,bj,2,Recall,purple,1
2,bj,2,Recall,red,1
1.5,bj,3,Recall,blue,0.75
1.5,bj,3,Recall,green,0.75
1.5,bj,3,Recall,purple,0.75
2,bj,3,Recall,red,1
0,cl,0,Dialogue,blue,0
0,cl,0,Dialogue,green,0
0,cl,0,Dialogue,purple,0
0,cl,0,Dialogue,red,0
0,cl,1,Dialogue,blue,0
0,cl,1,Dialogue,green,0
0,cl,1,Dialogue,purple,0
0,cl,1,Dialogue,red,0
0,cl,2,Dialogue,blue,0
0,cl,2,Dialogue,green,0
0,cl,2,Dialogue,purple,0
0,cl,2,Dialogue,red,0
0,cl,3,Dialogue,blue,0
0,cl,3,Dialogue,green,0
0,cl,3,Dialogue,purple,0
0,cl,3,Dialogue,red,0
2,cm,0,Dialogue,blue,1
1,cm,0,Dialogue,green,0.5
2,cm,0,Dialogue,purple,1
2,cm,0,Dialogue,red,1
0,cm,1,Dialogue,blue,0
0,cm,1,Dialogue,green,0
0,cm,1,Dialogue,purple,0
0,cm,1,Dialogue,red,0
0.811278124,cm,2,Dialogue,blue,0.405639062
1.5,cm,2,Dialogue,green,0.75
0,cm,2,Dialogue,purple,0
1.5,cm,2,Dialogue,red,0.75
2,cm,3,Dialogue,blue,1
2,cm,3,Dialogue,green,1
2,cm,3,Dialogue,purple,1
1,cm,3,Dialogue,red,0.5
1.5,aj,0,Mnemonic,blue,0.75
2,aj,0,Mnemonic,green,1
2,aj,0,Mnemonic,purple,1
2,aj,0,Mnemonic,red,1
0,aj,1,Mnemonic,blue,0
0,aj,1,Mnemonic,green,0
0.811278124,aj,1,Mnemonic,purple,0.405639062
0,aj,1,Mnemonic,red,0
0,aj,2,Mnemonic,blue,0
0,aj,2,Mnemonic,green,0
0,aj,2,Mnemonic,purple,0
0,aj,2,Mnemonic,red,0
0,aj,3,Mnemonic,blue,0
0,aj,3,Mnemonic,green,0
0,aj,3,Mnemonic,purple,0
0,aj,3,Mnemonic,red,0
1.5,ak,0,Mnemonic,blue,0.75
1.5,ak,0,Mnemonic,green,0.75
0.811278124,ak,0,Mnemonic,purple,0.405639062
1.5,ak,0,Mnemonic,red,0.75
1,ak,1,Mnemonic,blue,0.5
1.5,ak,1,Mnemonic,green,0.75
1,ak,1,Mnemonic,purple,0.5
1,ak,1,Mnemonic,red,0.5
0.811278124,ak,2,Mnemonic,blue,0.405639062
0.811278124,ak,2,Mnemonic,green,0.405639062
0.811278124,ak,2,Mnemonic,purple,0.405639062
1,ak,2,Mnemonic,red,0.5
1,ak,3,Mnemonic,blue,0.5
0.811278124,ak,3,Mnemonic,green,0.405639062
1,ak,3,Mnemonic,purple,0.5
1,ak,3,Mnemonic,red,0.5
2,al,0,Mnemonic,blue,1
1.5,al,0,Mnemonic,green,0.75
2,al,0,Mnemonic,purple,1
1.5,al,0,Mnemonic,red,0.75
1.5,al,1,Mnemonic,blue,0.75
1.5,al,1,Mnemonic,green,0.75
2,al,1,Mnemonic,purple,1
1.5,al,1,Mnemonic,red,0.75
1.5,al,2,Mnemonic,blue,0.75
1.5,al,2,Mnemonic,green,0.75
1.5,al,2,Mnemonic,purple,0.75
1.5,al,2,Mnemonic,red,0.75
1.5,al,3,Mnemonic,blue,0.75
1.5,al,3,Mnemonic,green,0.75
1.5,al,3,Mnemonic,purple,0.75
1.5,al,3,Mnemonic,red,0.75
1.5,am,0,Mnemonic,blue,0.75
0.811278124,am,0,Mnemonic,green,0.405639062
1.5,am,0,Mnemonic,purple,0.75
1.5,am,0,Mnemonic,red,0.75
0.811278124,am,1,Mnemonic,blue,0.405639062
0.811278124,am,1,Mnemonic,green,0.405639062
1.5,am,1,Mnemonic,purple,0.75
1.5,am,1,Mnemonic,red,0.75
0.811278124,am,2,Mnemonic,blue,0.405639062
1,am,2,Mnemonic,green,0.5
1.5,am,2,Mnemonic,purple,0.75
1,am,2,Mnemonic,red,0.5
1.5,am,3,Mnemonic,blue,0.75
1.5,am,3,Mnemonic,green,0.75
1.5,am,3,Mnemonic,purple,0.75
0.811278124,am,3,Mnemonic,red,0.405639062
1.5,an,0,Mnemonic,blue,0.75
2,an,0,Mnemonic,green,1
0.811278124,an,0,Mnemonic,purple,0.405639062
1,an,0,Mnemonic,red,0.5
0.811278124,an,1,Mnemonic,blue,0.405639062
1,an,1,Mnemonic,green,0.5
1.5,an,1,Mnemonic,purple,0.75
1,an,1,Mnemonic,red,0.5
0.811278124,an,2,Mnemonic,blue,0.405639062
1,an,2,Mnemonic,green,0.5
0.811278124,an,2,Mnemonic,purple,0.405639062
1,an,2,Mnemonic,red,0.5
1.5,an,3,Mnemonic,blue,0.75
1,an,3,Mnemonic,green,0.5
0.811278124,an,3,Mnemonic,purple,0.405639062
1.5,an,3,Mnemonic,red,0.75
0,bk,0,Recall,blue,0
0,bk,0,Recall,green,0
2,bk,0,Recall,purple,1
0,bk,0,Recall,red,0
1.5,bk,1,Recall,blue,0.75
1.5,bk,1,Recall,green,0.75
1.5,bk,1,Recall,purple,0.75
1.5,bk,1,Recall,red,0.75
2,bk,2,Recall,blue,1
1.5,bk,2,Recall,green,0.75
1.5,bk,2,Recall,purple,0.75
1.5,bk,2,Recall,red,0.75
0,bk,3,Recall,blue,0
2,bk,3,Recall,green,1
1.5,bk,3,Recall,purple,0.75
2,bk,3,Recall,red,1
1,bl,0,Recall,blue,0.5
0,bl,0,Recall,green,0
1.5,bl,0,Recall,purple,0.75
1.5,bl,0,Recall,red,0.75
0.811278124,bl,1,Recall,blue,0.405639062
1,bl,1,Recall,green,0.5
0,bl,1,Recall,purple,0
0.811278124,bl,1,Recall,red,0.405639062
0,bl,2,Recall,blue,0
1,bl,2,Recall,green,0.5
0,bl,2,Recall,purple,0
0.811278124,bl,2,Recall,red,0.405639062
1.5,bl,3,Recall,blue,0.75
1.5,bl,3,Recall,green,0.75
1.5,bl,3,Recall,purple,0.75
1,bl,3,Recall,red,0.5
1.5,bm,0,Recall,blue,0.75
0,bm,0,Recall,green,0
2,bm,0,Recall,purple,1
1.5,bm,0,Recall,red,0.75
2,bm,1,Recall,blue,1
0,bm,1,Recall,green,0
1.5,bm,1,Recall,purple,0.75
0,bm,1,Recall,red,0
1,bm,2,Recall,blue,0.5
0,bm,2,Recall,green,0
1.5,bm,2,Recall,purple,0.75
0,bm,2,Recall,red,0
0,bm,3,Recall,blue,0
0,bm,3,Recall,green,0
0.811278124,bm,3,Recall,purple,0.405639062
0,bm,3,Recall,red,0
1.5,bn,0,Recall,blue,0.75
1.5,bn,0,Recall,green,0.75
0.811278124,bn,0,Recall,purple,0.405639062
1,bn,0,Recall,red,0.5
0.811278124,bn,1,Recall,blue,0.405639062
2,bn,1,Recall,green,1
0.811278124,bn,1,Recall,purple,0.405639062
1.5,bn,1,Recall,red,0.75
0,bn,2,Recall,blue,0
1,bn,2,Recall,green,0.5
0,bn,2,Recall,purple,0
1.5,bn,2,Recall,red,0.75
0,bn,3,Recall,blue,0
1.5,bn,3,Recall,green,0.75
0,bn,3,Recall,purple,0
1.5,bn,3,Recall,red,0.75
0.811278124,cn,0,Dialogue,blue,0.405639062
0,cn,0,Dialogue,green,0
0,cn,0,Dialogue,purple,0
0,cn,0,Dialogue,red,0
0,cn,1,Dialogue,blue,0
0,cn,1,Dialogue,green,0
0,cn,1,Dialogue,purple,0
0,cn,1,Dialogue,red,0
0,cn,2,Dialogue,blue,0
0.811278124,cn,2,Dialogue,green,0.405639062
0,cn,2,Dialogue,purple,0
0,cn,2,Dialogue,red,0
0,cn,3,Dialogue,blue,0
0,cn,3,Dialogue,green,0
0,cn,3,Dialogue,purple,0
0,cn,3,Dialogue,red,0
0,co,0,Dialogue,blue,0
0,co,0,Dialogue,green,0
0,co,0,Dialogue,purple,0
0.811278124,co,0,Dialogue,red,0.405639062
0,co,1,Dialogue,blue,0
0,co,1,Dialogue,green,0
0,co,1,Dialogue,purple,0
0,co,1,Dialogue,red,0
0,co,2,Dialogue,blue,0
0,co,2,Dialogue,green,0
0,co,2,Dialogue,purple,0
0,co,2,Dialogue,red,0
0,co,3,Dialogue,blue,0
0,co,3,Dialogue,green,0
0,co,3,Dialogue,purple,0
0,co,3,Dialogue,red,0
0,ca,0,Dialogue,blue,0
0,ca,0,Dialogue,green,0
0,ca,0,Dialogue,purple,0
0.811278124,ca,0,Dialogue,red,0.405639062
0,ca,1,Dialogue,blue,0
2,ca,1,Dialogue,green,1
1.5,ca,1,Dialogue,purple,0.75
0.811278124,ca,1,Dialogue,red,0.405639062
0,ca,2,Dialogue,blue,0
0,ca,2,Dialogue,green,0
0,ca,2,Dialogue,purple,0
0.811278124,ca,2,Dialogue,red,0.405639062
0,ca,3,Dialogue,blue,0
0,ca,3,Dialogue,green,0
0,ca,3,Dialogue,purple,0
0,ca,3,Dialogue,red,0
1.5,dj,0,Correspondence,blue,0.75
2,dj,0,Correspondence,green,1
1.5,dj,0,Correspondence,purple,0.75
0.811278124,dj,0,Correspondence,red,0.405639062
2,dj,1,Correspondence,blue,1
1.5,dj,1,Correspondence,green,0.75
1.5,dj,1,Correspondence,purple,0.75
1.5,dj,1,Correspondence,red,0.75
1,dj,2,Correspondence,blue,0.5
1.5,dj,2,Correspondence,green,0.75
1.5,dj,2,Correspondence,purple,0.75
1.5,dj,2,Correspondence,red,0.75
1,dj,3,Correspondence,blue,0.5
1.5,dj,3,Correspondence,green,0.75
2,dj,3,Correspondence,purple,1
0.811278124,dj,3,Correspondence,red,0.405639062
1.5,dk,0,Correspondence,blue,0.75
2,dk,0,Correspondence,green,1
2,dk,0,Correspondence,purple,1
0.811278124,dk,0,Correspondence,red,0.405639062
0.811278124,dk,1,Correspondence,blue,0.405639062
1.5,dk,1,Correspondence,green,0.75
1.5,dk,1,Correspondence,purple,0.75
1,dk,1,Correspondence,red,0.5
0,dk,2,Correspondence,blue,0
0.811278124,dk,2,Correspondence,green,0.405639062
0.811278124,dk,2,Correspondence,purple,0.405639062
0.811278124,dk,2,Correspondence,red,0.405639062
0,dk,3,Correspondence,blue,0
0.811278124,dk,3,Correspondence,green,0.405639062
0.811278124,dk,3,Correspondence,purple,0.405639062
0.811278124,dk,3,Correspondence,red,0.405639062
0,dl,0,Correspondence,blue,0
0,dl,0,Correspondence,green,0
0.811278124,dl,0,Correspondence,purple,0.405639062
0.811278124,dl,0,Correspondence,red,0.405639062
0,dl,1,Correspondence,blue,0
0,dl,1,Correspondence,green,0
1,dl,1,Correspondence,purple,0.5
2,dl,1,Correspondence,red,1
0.811278124,dl,2,Correspondence,blue,0.405639062
0.811278124,dl,2,Correspondence,green,0.405639062
2,dl,2,Correspondence,purple,1
1.5,dl,2,Correspondence,red,0.75
1.5,dl,3,Correspondence,blue,0.75
1,dl,3,Correspondence,green,0.5
0.811278124,dl,3,Correspondence,purple,0.405639062
1,dl,3,Correspondence,red,0.5
1.5,dm,0,Correspondence,blue,0.75
1.5,dm,0,Correspondence,green,0.75
2,dm,0,Correspondence,purple,1
1.5,dm,0,Correspondence,red,0.75
2,dm,1,Correspondence,blue,1
2,dm,1,Correspondence,green,1
2,dm,1,Correspondence,purple,1
1.5,dm,1,Correspondence,red,0.75
1.5,dm,2,Correspondence,blue,0.75
2,dm,2,Correspondence,green,1
2,dm,2,Correspondence,purple,1
0.811278124,dm,2,Correspondence,red,0.405639062
1.5,dm,3,Correspondence,blue,0.75
1.5,dm,3,Correspondence,green,0.75
1.5,dm,3,Correspondence,purple,0.75
0.811278124,dm,3,Correspondence,red,0.405639062
2,dn,0,Correspondence,blue,1
1.5,dn,0,Correspondence,green,0.75
1.5,dn,0,Correspondence,purple,0.75
1.5,dn,0,Correspondence,red,0.75
2,dn,1,Correspondence,blue,1
2,dn,1,Correspondence,green,1
2,dn,1,Correspondence,purple,1
1.5,dn,1,Correspondence,red,0.75
2,dn,2,Correspondence,blue,1
1.5,dn,2,Correspondence,green,0.75
2,dn,2,Correspondence,purple,1
1.5,dn,2,Correspondence,red,0.75
1.5,dn,3,Correspondence,blue,0.75
2,dn,3,Correspondence,green,1
2,dn,3,Correspondence,purple,1
1.5,dn,3,Correspondence,red,0.75
0.811278124,do,0,Correspondence,blue,0.405639062
0,do,0,Correspondence,green,0
0.811278124,do,0,Correspondence,purple,0.405639062
1.5,do,0,Correspondence,red,0.75
1,do,1,Correspondence,blue,0.5
1.5,do,1,Correspondence,green,0.75
1.5,do,1,Correspondence,purple,0.75
1,do,1,Correspondence,red,0.5
1,do,2,Correspondence,blue,0.5
1.5,do,2,Correspondence,green,0.75
1.5,do,2,Correspondence,purple,0.75
1,do,2,Correspondence,red,0.5
1,do,3,Correspondence,blue,0.5
1.5,do,3,Correspondence,green,0.75
1,do,3,Correspondence,purple,0.5
1,do,3,Correspondence,red,0.5
1.5,bo,0,Recall,blue,0.75
2,bo,0,Recall,green,1
1.5,bo,0,Recall,purple,0.75
1,bo,0,Recall,red,0.5
1,bo,1,Recall,blue,0.5
1.5,bo,1,Recall,green,0.75
0.811278124,bo,1,Recall,purple,0.405639062
1.5,bo,1,Recall,red,0.75
1,bo,2,Recall,blue,0.5
1.5,bo,2,Recall,green,0.75
1.5,bo,2,Recall,purple,0.75
1,bo,2,Recall,red,0.5
1,bo,3,Recall,blue,0.5
0.811278124,bo,3,Recall,green,0.405639062
1.5,bo,3,Recall,purple,0.75
1,bo,3,Recall,red,0.5
1.5,ao,0,Mnemonic,blue,0.75
2,ao,0,Mnemonic,green,1
1.5,ao,0,Mnemonic,purple,0.75
2,ao,0,Mnemonic,red,1
1.5,ao,1,Mnemonic,blue,0.75
1.5,ao,1,Mnemonic,green,0.75
1.5,ao,1,Mnemonic,purple,0.75
1,ao,1,Mnemonic,red,0.5
0,ao,2,Mnemonic,blue,0
0.811278124,ao,2,Mnemonic,green,0.405639062
1.5,ao,2,Mnemonic,purple,0.75
1.5,ao,2,Mnemonic,red,0.75
0,ao,3,Mnemonic,blue,0
0,ao,3,Mnemonic,green,0
0,ao,3,Mnemonic,purple,0
0,ao,3,Mnemonic,red,0
