error,participant,block,condition,colour,category
0,aa,0,Mnemonic,blue1,blue
0,aa,0,Mnemonic,blue2,blue
0.25,aa,0,Mnemonic,blue3,blue
0,aa,0,Mnemonic,blue4,blue
0.5,aa,0,Mnemonic,green1,green
0.5,aa,0,Mnemonic,green2,green
0.75,aa,0,Mnemonic,green3,green
0.25,aa,0,Mnemonic,green4,green
0.75,aa,0,Mnemonic,purple1,purple
0.25,aa,0,Mnemonic,purple2,purple
1,aa,0,Mnemonic,purple3,purple
0,aa,0,Mnemonic,purple4,purple
0,aa,0,Mnemonic,red1,red
0,aa,0,Mnemonic,red2,red
0.5,aa,0,Mnemonic,red3,red
0.25,aa,0,Mnemonic,red4,red
0,aa,1,Mnemonic,blue1,blue
0.75,aa,1,Mnemonic,blue2,blue
0.75,aa,1,Mnemonic,blue3,blue
0.25,aa,1,Mnemonic,blue4,blue
0.5,aa,1,Mnemonic,green1,green
0.5,aa,1,Mnemonic,green2,green
0,aa,1,Mnemonic,green3,green
0.25,aa,1,Mnemonic,green4,green
0.5,aa,1,Mnemonic,purple1,purple
0.25,aa,1,Mnemonic,purple2,purple
0.25,aa,1,Mnemonic,purple3,purple
0.25,aa,1,Mnemonic,purple4,purple
0,aa,1,Mnemonic,red1,red
0.5,aa,1,Mnemonic,red2,red
0.5,aa,1,Mnemonic,red3,red
0.75,aa,1,Mnemonic,red4,red
0.25,aa,2,Mnemonic,blue1,blue
0.5,aa,2,Mnemonic,blue2,blue
0.5,aa,2,Mnemonic,blue3,blue
0.5,aa,2,Mnemonic,blue4,blue
0.5,aa,2,Mnemonic,green1,green
0.75,aa,2,Mnemonic,green2,green
0.5,aa,2,Mnemonic,green3,green
0.5,aa,2,Mnemonic,green4,green
0.75,aa,2,Mnemonic,purple1,purple
0.25,aa,2,Mnemonic,purple2,purple
0.5,aa,2,Mnemonic,purple3,purple
0.25,aa,2,Mnemonic,purple4,purple
0.5,aa,2,Mnemonic,red1,red
0.25,aa,2,Mnemonic,red2,red
0,aa,2,Mnemonic,red3,red
0.5,aa,2,Mnemonic,red4,red
0.5,ab,0,Mnemonic,blue1,blue
0.5,ab,0,Mnemonic,blue2,blue
0,ab,0,Mnemonic,blue3,blue
0,ab,0,Mnemonic,blue4,blue
0,ab,0,Mnemonic,green1,green
0,ab,0,Mnemonic,green2,green
0,ab,0,Mnemonic,green3,green
0,ab,0,Mnemonic,green4,green
0,ab,0,Mnemonic,purple1,purple
0,ab,0,Mnemonic,purple2,purple
0.25,ab,0,Mnemonic,purple3,purple
0.5,ab,0,Mnemonic,purple4,purple
0,ab,0,Mnemonic,red1,red
0,ab,0,Mnemonic,red2,red
0,ab,0,Mnemonic,red3,red
0,ab,0,Mnemonic,red4,red
0,ab,1,Mnemonic,blue1,blue
0,ab,1,Mnemonic,blue2,blue
0,ab,1,Mnemonic,blue3,blue
0,ab,1,Mnemonic,blue4,blue
0,ab,1,Mnemonic,green1,green
0,ab,1,Mnemonic,green2,green
0,ab,1,Mnemonic,green3,green
0,ab,1,Mnemonic,green4,green
0,ab,1,Mnemonic,purple1,purple
0,ab,1,Mnemonic,purple2,purple
0,ab,1,Mnemonic,purple3,purple
0.25,ab,1,Mnemonic,purple4,purple
0,ab,1,Mnemonic,red1,red
0,ab,1,Mnemonic,red2,red
0,ab,1,Mnemonic,red3,red
0,ab,1,Mnemonic,red4,red
0,ab,2,Mnemonic,blue1,blue
0,ab,2,Mnemonic,blue2,blue
0,ab,2,Mnemonic,blue3,blue
0,ab,2,Mnemonic,blue4,blue
0,ab,2,Mnemonic,green1,green
0,ab,2,Mnemonic,green2,green
0,ab,2,Mnemonic,green3,green
0,ab,2,Mnemonic,green4,green
0,ab,2,Mnemonic,purple1,purple
0,ab,2,Mnemonic,purple2,purple
0,ab,2,Mnemonic,purple3,purple
0,ab,2,Mnemonic,purple4,purple
0,ab,2,Mnemonic,red1,red
0,ab,2,Mnemonic,red2,red
0,ab,2,Mnemonic,red3,red
0,ab,2,Mnemonic,red4,red
0.5,ac,0,Mnemonic,blue1,blue
0.25,ac,0,Mnemonic,blue2,blue
0,ac,0,Mnemonic,blue3,blue
0,ac,0,Mnemonic,blue4,blue
0.75,ac,0,Mnemonic,green1,green
0,ac,0,Mnemonic,green2,green
0.75,ac,0,Mnemonic,green3,green
0,ac,0,Mnemonic,green4,green
0,ac,0,Mnemonic,purple1,purple
0,ac,0,Mnemonic,purple2,purple
0,ac,0,Mnemonic,purple3,purple
0,ac,0,Mnemonic,purple4,purple
0.5,ac,0,Mnemonic,red1,red
0.25,ac,0,Mnemonic,red2,red
0.5,ac,0,Mnemonic,red3,red
0,ac,0,Mnemonic,red4,red
0,ac,1,Mnemonic,blue1,blue
0,ac,1,Mnemonic,blue2,blue
0,ac,1,Mnemonic,blue3,blue
0,ac,1,Mnemonic,blue4,blue
0,ac,1,Mnemonic,green1,green
0,ac,1,Mnemonic,green2,green
0,ac,1,Mnemonic,green3,green
0,ac,1,Mnemonic,green4,green
0,ac,1,Mnemonic,purple1,purple
0,ac,1,Mnemonic,purple2,purple
0,ac,1,Mnemonic,purple3,purple
0,ac,1,Mnemonic,purple4,purple
0,ac,1,Mnemonic,red1,red
0,ac,1,Mnemonic,red2,red
0,ac,1,Mnemonic,red3,red
0,ac,1,Mnemonic,red4,red
0,ac,2,Mnemonic,blue1,blue
0,ac,2,Mnemonic,blue2,blue
0,ac,2,Mnemonic,blue3,blue
0,ac,2,Mnemonic,blue4,blue
0,ac,2,Mnemonic,green1,green
0,ac,2,Mnemonic,green2,green
0,ac,2,Mnemonic,green3,green
0,ac,2,Mnemonic,green4,green
0,ac,2,Mnemonic,purple1,purple
0,ac,2,Mnemonic,purple2,purple
0,ac,2,Mnemonic,purple3,purple
0,ac,2,Mnemonic,purple4,purple
0,ac,2,Mnemonic,red1,red
0,ac,2,Mnemonic,red2,red
0,ac,2,Mnemonic,red3,red
0,ac,2,Mnemonic,red4,red
0,ad,0,Mnemonic,blue1,blue
0.5,ad,0,Mnemonic,blue2,blue
0.25,ad,0,Mnemonic,blue3,blue
0.5,ad,0,Mnemonic,blue4,blue
0.25,ad,0,Mnemonic,green1,green
0.5,ad,0,Mnemonic,green2,green
0.75,ad,0,Mnemonic,green3,green
1,ad,0,Mnemonic,green4,green
0.75,ad,0,Mnemonic,purple1,purple
0.75,ad,0,Mnemonic,purple2,purple
0,ad,0,Mnemonic,purple3,purple
0.75,ad,0,Mnemonic,purple4,purple
0.25,ad,0,Mnemonic,red1,red
0,ad,0,Mnemonic,red2,red
0.5,ad,0,Mnemonic,red3,red
0.75,ad,0,Mnemonic,red4,red
0.25,ad,1,Mnemonic,blue1,blue
0.5,ad,1,Mnemonic,blue2,blue
0.25,ad,1,Mnemonic,blue3,blue
0.25,ad,1,Mnemonic,blue4,blue
0.5,ad,1,Mnemonic,green1,green
0.75,ad,1,Mnemonic,green2,green
0,ad,1,Mnemonic,green3,green
0.5,ad,1,Mnemonic,green4,green
0.75,ad,1,Mnemonic,purple1,purple
1,ad,1,Mnemonic,purple2,purple
0,ad,1,Mnemonic,purple3,purple
0,ad,1,Mnemonic,purple4,purple
0.5,ad,1,Mnemonic,red1,red
0.25,ad,1,Mnemonic,red2,red
0.25,ad,1,Mnemonic,red3,red
0,ad,1,Mnemonic,red4,red
0,ad,2,Mnemonic,blue1,blue
0,ad,2,Mnemonic,blue2,blue
0.75,ad,2,Mnemonic,blue3,blue
0.5,ad,2,Mnemonic,blue4,blue
0.5,ad,2,Mnemonic,green1,green
0,ad,2,Mnemonic,green2,green
0,ad,2,Mnemonic,green3,green
0.25,ad,2,Mnemonic,green4,green
0.25,ad,2,Mnemonic,purple1,purple
0.75,ad,2,Mnemonic,purple2,purple
0.5,ad,2,Mnemonic,purple3,purple
0,ad,2,Mnemonic,purple4,purple
0.75,ad,2,Mnemonic,red1,red
0.25,ad,2,Mnemonic,red2,red
0.75,ad,2,Mnemonic,red3,red
0.5,ad,2,Mnemonic,red4,red
0.25,ae,0,Mnemonic,blue1,blue
1,ae,0,Mnemonic,blue2,blue
0.5,ae,0,Mnemonic,blue3,blue
0.5,ae,0,Mnemonic,blue4,blue
0.25,ae,0,Mnemonic,green1,green
0.25,ae,0,Mnemonic,green2,green
0,ae,0,Mnemonic,green3,green
0.75,ae,0,Mnemonic,green4,green
0.5,ae,0,Mnemonic,purple1,purple
0.75,ae,0,Mnemonic,purple2,purple
1,ae,0,Mnemonic,purple3,purple
0.5,ae,0,Mnemonic,purple4,purple
0,ae,0,Mnemonic,red1,red
0,ae,0,Mnemonic,red2,red
1,ae,0,Mnemonic,red3,red
0.5,ae,0,Mnemonic,red4,red
0,ae,1,Mnemonic,blue1,blue
0,ae,1,Mnemonic,blue2,blue
0.75,ae,1,Mnemonic,blue3,blue
0.75,ae,1,Mnemonic,blue4,blue
0.5,ae,1,Mnemonic,green1,green
0,ae,1,Mnemonic,green2,green
0.25,ae,1,Mnemonic,green3,green
0.75,ae,1,Mnemonic,green4,green
0.75,ae,1,Mnemonic,purple1,purple
0.25,ae,1,Mnemonic,purple2,purple
0.25,ae,1,Mnemonic,purple3,purple
0.25,ae,1,Mnemonic,purple4,purple
0,ae,1,Mnemonic,red1,red
0,ae,1,Mnemonic,red2,red
0,ae,1,Mnemonic,red3,red
0.75,ae,1,Mnemonic,red4,red
0,ae,2,Mnemonic,blue1,blue
0,ae,2,Mnemonic,blue2,blue
0,ae,2,Mnemonic,blue3,blue
0.75,ae,2,Mnemonic,blue4,blue
0,ae,2,Mnemonic,green1,green
0,ae,2,Mnemonic,green2,green
0,ae,2,Mnemonic,green3,green
0,ae,2,Mnemonic,green4,green
0,ae,2,Mnemonic,purple1,purple
0,ae,2,Mnemonic,purple2,purple
0,ae,2,Mnemonic,purple3,purple
0.5,ae,2,Mnemonic,purple4,purple
0,ae,2,Mnemonic,red1,red
0,ae,2,Mnemonic,red2,red
0,ae,2,Mnemonic,red3,red
0.75,ae,2,Mnemonic,red4,red
0.5,af,0,Mnemonic,blue1,blue
0,af,0,Mnemonic,blue2,blue
0.5,af,0,Mnemonic,blue3,blue
0.5,af,0,Mnemonic,blue4,blue
1,af,0,Mnemonic,green1,green
1,af,0,Mnemonic,green2,green
0.75,af,0,Mnemonic,green3,green
0.25,af,0,Mnemonic,green4,green
0.5,af,0,Mnemonic,purple1,purple
0.5,af,0,Mnemonic,purple2,purple
0.25,af,0,Mnemonic,purple3,purple
0,af,0,Mnemonic,purple4,purple
0.25,af,0,Mnemonic,red1,red
0.75,af,0,Mnemonic,red2,red
0.75,af,0,Mnemonic,red3,red
0.25,af,0,Mnemonic,red4,red
0,af,1,Mnemonic,blue1,blue
0,af,1,Mnemonic,blue2,blue
0.5,af,1,Mnemonic,blue3,blue
0,af,1,Mnemonic,blue4,blue
0,af,1,Mnemonic,green1,green
0,af,1,Mnemonic,green2,green
0,af,1,Mnemonic,green3,green
0.25,af,1,Mnemonic,green4,green
0.5,af,1,Mnemonic,purple1,purple
0.5,af,1,Mnemonic,purple2,purple
0,af,1,Mnemonic,purple3,purple
0.25,af,1,Mnemonic,purple4,purple
0.25,af,1,Mnemonic,red1,red
0.5,af,1,Mnemonic,red2,red
0,af,1,Mnemonic,red3,red
0,af,1,Mnemonic,red4,red
0.25,af,2,Mnemonic,blue1,blue
0,af,2,Mnemonic,blue2,blue
0.75,af,2,Mnemonic,blue3,blue
0,af,2,Mnemonic,blue4,blue
0,af,2,Mnemonic,green1,green
0,af,2,Mnemonic,green2,green
0.5,af,2,Mnemonic,green3,green
0.5,af,2,Mnemonic,green4,green
0.25,af,2,Mnemonic,purple1,purple
0.5,af,2,Mnemonic,purple2,purple
0.25,af,2,Mnemonic,purple3,purple
0.5,af,2,Mnemonic,purple4,purple
0,af,2,Mnemonic,red1,red
0.5,af,2,Mnemonic,red2,red
0.5,af,2,Mnemonic,red3,red
0.25,af,2,Mnemonic,red4,red
0.75,ag,0,Mnemonic,blue1,blue
0.5,ag,0,Mnemonic,blue2,blue
0.25,ag,0,Mnemonic,blue3,blue
0,ag,0,Mnemonic,blue4,blue
0.25,ag,0,Mnemonic,green1,green
0,ag,0,Mnemonic,green2,green
0.5,ag,0,Mnemonic,green3,green
0.25,ag,0,Mnemonic,green4,green
0.75,ag,0,Mnemonic,purple1,purple
0.5,ag,0,Mnemonic,purple2,purple
0,ag,0,Mnemonic,purple3,purple
0,ag,0,Mnemonic,purple4,purple
0.75,ag,0,Mnemonic,red1,red
0.25,ag,0,Mnemonic,red2,red
0,ag,0,Mnemonic,red3,red
0.25,ag,0,Mnemonic,red4,red
0.5,ag,1,Mnemonic,blue1,blue
1,ag,1,Mnemonic,blue2,blue
0.75,ag,1,Mnemonic,blue3,blue
1,ag,1,Mnemonic,blue4,blue
0.5,ag,1,Mnemonic,green1,green
0.25,ag,1,Mnemonic,green2,green
0.75,ag,1,Mnemonic,green3,green
0.75,ag,1,Mnemonic,green4,green
0.5,ag,1,Mnemonic,purple1,purple
0.75,ag,1,Mnemonic,purple2,purple
0,ag,1,Mnemonic,purple3,purple
0.75,ag,1,Mnemonic,purple4,purple
0.5,ag,1,Mnemonic,red1,red
0.25,ag,1,Mnemonic,red2,red
1,ag,1,Mnemonic,red3,red
1,ag,1,Mnemonic,red4,red
0,ag,2,Mnemonic,blue1,blue
0,ag,2,Mnemonic,blue2,blue
0,ag,2,Mnemonic,blue3,blue
0,ag,2,Mnemonic,blue4,blue
0,ag,2,Mnemonic,green1,green
0.25,ag,2,Mnemonic,green2,green
0.25,ag,2,Mnemonic,green3,green
0.25,ag,2,Mnemonic,green4,green
0.25,ag,2,Mnemonic,purple1,purple
0.25,ag,2,Mnemonic,purple2,purple
0.25,ag,2,Mnemonic,purple3,purple
0,ag,2,Mnemonic,purple4,purple
0.25,ag,2,Mnemonic,red1,red
0.25,ag,2,Mnemonic,red2,red
0.25,ag,2,Mnemonic,red3,red
0,ag,2,Mnemonic,red4,red
1,ah,0,Mnemonic,blue1,blue
0.5,ah,0,Mnemonic,blue2,blue
0.75,ah,0,Mnemonic,blue3,blue
0.25,ah,0,Mnemonic,blue4,blue
0.75,ah,0,Mnemonic,green1,green
0.5,ah,0,Mnemonic,green2,green
1,ah,0,Mnemonic,green3,green
0.5,ah,0,Mnemonic,green4,green
0,ah,0,Mnemonic,purple1,purple
0.25,ah,0,Mnemonic,purple2,purple
0.25,ah,0,Mnemonic,purple3,purple
1,ah,0,Mnemonic,purple4,purple
0,ah,0,Mnemonic,red1,red
0,ah,0,Mnemonic,red2,red
0,ah,0,Mnemonic,red3,red
0.25,ah,0,Mnemonic,red4,red
0.25,ah,1,Mnemonic,blue1,blue
0.25,ah,1,Mnemonic,blue2,blue
0,ah,1,Mnemonic,blue3,blue
0.25,ah,1,Mnemonic,blue4,blue
0,ah,1,Mnemonic,green1,green
0.25,ah,1,Mnemonic,green2,green
0.25,ah,1,Mnemonic,green3,green
0,ah,1,Mnemonic,green4,green
0.25,ah,1,Mnemonic,purple1,purple
0.5,ah,1,Mnemonic,purple2,purple
0.25,ah,1,Mnemonic,purple3,purple
0.75,ah,1,Mnemonic,purple4,purple
0,ah,1,Mnemonic,red1,red
0,ah,1,Mnemonic,red2,red
0.25,ah,1,Mnemonic,red3,red
0,ah,1,Mnemonic,red4,red
0,ah,2,Mnemonic,blue1,blue
0,ah,2,Mnemonic,blue2,blue
0.25,ah,2,Mnemonic,blue3,blue
0,ah,2,Mnemonic,blue4,blue
0,ah,2,Mnemonic,green1,green
0.25,ah,2,Mnemonic,green2,green
0.25,ah,2,Mnemonic,green3,green
0.25,ah,2,Mnemonic,green4,green
0.25,ah,2,Mnemonic,purple1,purple
0.25,ah,2,Mnemonic,purple2,purple
0.5,ah,2,Mnemonic,purple3,purple
0.75,ah,2,Mnemonic,purple4,purple
0,ah,2,Mnemonic,red1,red
0.25,ah,2,Mnemonic,red2,red
0.25,ah,2,Mnemonic,red3,red
0.5,ah,2,Mnemonic,red4,red
0.25,ai,0,Mnemonic,blue1,blue
0,ai,0,Mnemonic,blue2,blue
0.75,ai,0,Mnemonic,blue3,blue
0.75,ai,0,Mnemonic,blue4,blue
0.5,ai,0,Mnemonic,green1,green
1,ai,0,Mnemonic,green2,green
0.75,ai,0,Mnemonic,green3,green
0.5,ai,0,Mnemonic,green4,green
0.75,ai,0,Mnemonic,purple1,purple
1,ai,0,Mnemonic,purple2,purple
0.25,ai,0,Mnemonic,purple3,purple
0.5,ai,0,Mnemonic,purple4,purple
0,ai,0,Mnemonic,red1,red
0,ai,0,Mnemonic,red2,red
0.25,ai,0,Mnemonic,red3,red
0.5,ai,0,Mnemonic,red4,red
0,ai,1,Mnemonic,blue1,blue
0,ai,1,Mnemonic,blue2,blue
0.75,ai,1,Mnemonic,blue3,blue
0.25,ai,1,Mnemonic,blue4,blue
0,ai,1,Mnemonic,green1,green
0.5,ai,1,Mnemonic,green2,green
0,ai,1,Mnemonic,green3,green
0,ai,1,Mnemonic,green4,green
0,ai,1,Mnemonic,purple1,purple
1,ai,1,Mnemonic,purple2,purple
1,ai,1,Mnemonic,purple3,purple
0.75,ai,1,Mnemonic,purple4,purple
0,ai,1,Mnemonic,red1,red
0.5,ai,1,Mnemonic,red2,red
0.5,ai,1,Mnemonic,red3,red
0,ai,1,Mnemonic,red4,red
0,ai,2,Mnemonic,blue1,blue
0.5,ai,2,Mnemonic,blue2,blue
0.25,ai,2,Mnemonic,blue3,blue
0,ai,2,Mnemonic,blue4,blue
0,ai,2,Mnemonic,green1,green
0.25,ai,2,Mnemonic,green2,green
0,ai,2,Mnemonic,green3,green
0,ai,2,Mnemonic,green4,green
0,ai,2,Mnemonic,purple1,purple
0.25,ai,2,Mnemonic,purple2,purple
0.25,ai,2,Mnemonic,purple3,purple
0.25,ai,2,Mnemonic,purple4,purple
0,ai,2,Mnemonic,red1,red
0,ai,2,Mnemonic,red2,red
0,ai,2,Mnemonic,red3,red
0.25,ai,2,Mnemonic,red4,red
0.25,aj,0,Mnemonic,blue1,blue
0.5,aj,0,Mnemonic,blue2,blue
0.5,aj,0,Mnemonic,blue3,blue
0.25,aj,0,Mnemonic,blue4,blue
0.5,aj,0,Mnemonic,green1,green
0.5,aj,0,Mnemonic,green2,green
0.25,aj,0,Mnemonic,green3,green
0.5,aj,0,Mnemonic,green4,green
0.75,aj,0,Mnemonic,purple1,purple
0.75,aj,0,Mnemonic,purple2,purple
0.75,aj,0,Mnemonic,purple3,purple
0.75,aj,0,Mnemonic,purple4,purple
0.5,aj,0,Mnemonic,red1,red
0.25,aj,0,Mnemonic,red2,red
0.25,aj,0,Mnemonic,red3,red
0,aj,0,Mnemonic,red4,red
0,aj,1,Mnemonic,blue1,blue
0,aj,1,Mnemonic,blue2,blue
0,aj,1,Mnemonic,blue3,blue
0,aj,1,Mnemonic,blue4,blue
0,aj,1,Mnemonic,green1,green
0,aj,1,Mnemonic,green2,green
0,aj,1,Mnemonic,green3,green
0,aj,1,Mnemonic,green4,green
0.25,aj,1,Mnemonic,purple1,purple
0.25,aj,1,Mnemonic,purple2,purple
0.25,aj,1,Mnemonic,purple3,purple
0.25,aj,1,Mnemonic,purple4,purple
0.25,aj,1,Mnemonic,red1,red
0.25,aj,1,Mnemonic,red2,red
0.25,aj,1,Mnemonic,red3,red
0.25,aj,1,Mnemonic,red4,red
0,aj,2,Mnemonic,blue1,blue
0,aj,2,Mnemonic,blue2,blue
0,aj,2,Mnemonic,blue3,blue
0,aj,2,Mnemonic,blue4,blue
0,aj,2,Mnemonic,green1,green
0,aj,2,Mnemonic,green2,green
0,aj,2,Mnemonic,green3,green
0,aj,2,Mnemonic,green4,green
0,aj,2,Mnemonic,purple1,purple
0,aj,2,Mnemonic,purple2,purple
0,aj,2,Mnemonic,purple3,purple
0,aj,2,Mnemonic,purple4,purple
0,aj,2,Mnemonic,red1,red
0,aj,2,Mnemonic,red2,red
0,aj,2,Mnemonic,red3,red
0,aj,2,Mnemonic,red4,red
0.75,ba,0,Recall,blue1,blue
0.5,ba,0,Recall,blue2,blue
0.25,ba,0,Recall,blue3,blue
0,ba,0,Recall,blue4,blue
0.75,ba,0,Recall,green1,green
1,ba,0,Recall,green2,green
0.25,ba,0,Recall,green3,green
0.25,ba,0,Recall,green4,green
0.5,ba,0,Recall,purple1,purple
1,ba,0,Recall,purple2,purple
0.5,ba,0,Recall,purple3,purple
0.75,ba,0,Recall,purple4,purple
0,ba,0,Recall,red1,red
0,ba,0,Recall,red2,red
0.25,ba,0,Recall,red3,red
0.75,ba,0,Recall,red4,red
0.5,ba,1,Recall,blue1,blue
0.25,ba,1,Recall,blue2,blue
0.5,ba,1,Recall,blue3,blue
0.75,ba,1,Recall,blue4,blue
0.75,ba,1,Recall,green1,green
0.5,ba,1,Recall,green2,green
0.5,ba,1,Recall,green3,green
0.5,ba,1,Recall,green4,green
0.75,ba,1,Recall,purple1,purple
0.5,ba,1,Recall,purple2,purple
1,ba,1,Recall,purple3,purple
1,ba,1,Recall,purple4,purple
0,ba,1,Recall,red1,red
0.25,ba,1,Recall,red2,red
0.75,ba,1,Recall,red3,red
0.75,ba,1,Recall,red4,red
0.5,ba,2,Recall,blue1,blue
0.25,ba,2,Recall,blue2,blue
0.75,ba,2,Recall,blue3,blue
0.25,ba,2,Recall,blue4,blue
0.5,ba,2,Recall,green1,green
0,ba,2,Recall,green2,green
0,ba,2,Recall,green3,green
0.75,ba,2,Recall,green4,green
0.5,ba,2,Recall,purple1,purple
0.5,ba,2,Recall,purple2,purple
1,ba,2,Recall,purple3,purple
0.75,ba,2,Recall,purple4,purple
0,ba,2,Recall,red1,red
0.25,ba,2,Recall,red2,red
0.25,ba,2,Recall,red3,red
0.25,ba,2,Recall,red4,red
0.5,bb,0,Recall,blue1,blue
1,bb,0,Recall,blue2,blue
0.25,bb,0,Recall,blue3,blue
1,bb,0,Recall,blue4,blue
0.5,bb,0,Recall,green1,green
0,bb,0,Recall,green2,green
0.5,bb,0,Recall,green3,green
0.5,bb,0,Recall,green4,green
1,bb,0,Recall,purple1,purple
0.5,bb,0,Recall,purple2,purple
0.5,bb,0,Recall,purple3,purple
0.25,bb,0,Recall,purple4,purple
0.5,bb,0,Recall,red1,red
0.5,bb,0,Recall,red2,red
0,bb,0,Recall,red3,red
0.5,bb,0,Recall,red4,red
0.5,bb,1,Recall,blue1,blue
0.25,bb,1,Recall,blue2,blue
0.75,bb,1,Recall,blue3,blue
0.25,bb,1,Recall,blue4,blue
0,bb,1,Recall,green1,green
0.75,bb,1,Recall,green2,green
0.75,bb,1,Recall,green3,green
0.5,bb,1,Recall,green4,green
1,bb,1,Recall,purple1,purple
0.75,bb,1,Recall,purple2,purple
1,bb,1,Recall,purple3,purple
0.5,bb,1,Recall,purple4,purple
1,bb,1,Recall,red1,red
0,bb,1,Recall,red2,red
0.25,bb,1,Recall,red3,red
0.5,bb,1,Recall,red4,red
0.75,bb,2,Recall,blue1,blue
0.75,bb,2,Recall,blue2,blue
0.5,bb,2,Recall,blue3,blue
0.75,bb,2,Recall,blue4,blue
0,bb,2,Recall,green1,green
1,bb,2,Recall,green2,green
0.5,bb,2,Recall,green3,green
0.5,bb,2,Recall,green4,green
0.5,bb,2,Recall,purple1,purple
0.5,bb,2,Recall,purple2,purple
0.5,bb,2,Recall,purple3,purple
0.75,bb,2,Recall,purple4,purple
1,bb,2,Recall,red1,red
0.5,bb,2,Recall,red2,red
0.75,bb,2,Recall,red3,red
0.5,bb,2,Recall,red4,red
0.5,bc,0,Recall,blue1,blue
0,bc,0,Recall,blue2,blue
0.75,bc,0,Recall,blue3,blue
0.25,bc,0,Recall,blue4,blue
0.5,bc,0,Recall,green1,green
0.5,bc,0,Recall,green2,green
0.25,bc,0,Recall,green3,green
0.5,bc,0,Recall,green4,green
0.75,bc,0,Recall,purple1,purple
0.25,bc,0,Recall,purple2,purple
0.75,bc,0,Recall,purple3,purple
0.5,bc,0,Recall,purple4,purple
0.5,bc,0,Recall,red1,red
0,bc,0,Recall,red2,red
0.5,bc,0,Recall,red3,red
0.25,bc,0,Recall,red4,red
0.25,bc,1,Recall,blue1,blue
0.25,bc,1,Recall,blue2,blue
0.75,bc,1,Recall,blue3,blue
0.75,bc,1,Recall,blue4,blue
